time_window,time_lo,time_hi,score_region,score_lo,score_hi,outer_fold,test_years,n,tau_mean,tau_median,tau_sd,share_three_pref,share_two_pref,share_near_zero_abs_0_001,mean_sign_agree_ratio
30_300,30.0,300.0,tied,0,0,train2000_2009_test2010_2012,2010-2012,2571.0,2.2676799406993914e-05,0.0008901001621238975,0.007432924398556999,0.5468689225982108,0.4531310774017892,0.10774017891870867,0.8193958252301311
30_300,30.0,300.0,tied,0,0,train2000_2012_test2013_2015,2013-2015,2674.0,0.0013187073600485772,0.0020711885990314788,0.00566852813656856,0.631637995512341,0.36836200448765893,0.11892296185489903,0.8024183495387684
30_300,30.0,300.0,tied,0,0,train2000_2015_test2016_2018,2016-2018,2535.0,-0.0016052349114083276,-0.0006325894237832946,0.00574109318306104,0.44497041420118344,0.5550295857988166,0.1940828402366864,0.7598948060486522
30_300,30.0,300.0,tied,0,0,train2000_2018_test2019_2021,2019-2021,2226.0,-0.00039155188993010304,0.0005713842099141328,0.004453650541825085,0.5557053009883198,0.4442946990116801,0.20664869721473494,0.8116202455825098
30_300,30.0,300.0,tied,0,0,train2000_2021_test2022_2024,2022-2024,2207.0,0.00011944748416161458,0.0005822636120433568,0.0033825582088734887,0.577254191209787,0.42274580879021295,0.260081558676937,0.8180033227609123
30_300,30.0,300.0,trailing,-10,-1,train2000_2009_test2010_2012,2010-2012,15362.0,0.00903900348077893,0.007546902684439267,0.012325237915835306,0.8169509178492383,0.18304908215076163,0.058586121598750165,0.8575706288243719
30_300,30.0,300.0,trailing,-10,-1,train2000_2012_test2013_2015,2013-2015,17240.0,0.006095823390030742,0.005289488510873389,0.00894883617899582,0.7918213457076566,0.2081786542923434,0.08973317865429234,0.8738785769528229
30_300,30.0,300.0,trailing,-10,-1,train2000_2015_test2016_2018,2016-2018,17191.0,0.004171061454359089,0.004120462537229917,0.0068443227322815174,0.7780233843290094,0.22197661567099064,0.09859810365889128,0.8258003218738487
30_300,30.0,300.0,trailing,-10,-1,train2000_2018_test2019_2021,2019-2021,14958.0,0.0022863707821347188,0.002350820395482395,0.005121353898093981,0.7184115523465704,0.2815884476534296,0.15316218745821633,0.8530552212862682
30_300,30.0,300.0,trailing,-10,-1,train2000_2021_test2022_2024,2022-2024,15813.0,0.0023051063589296663,0.0021289054954509337,0.00459937227956362,0.7293998608739645,0.27060013912603553,0.17871371656232213,0.8654482598705705
30_60,30.0,60.0,all_score,-10,10,train2000_2009_test2010_2012,2010-2012,3995.0,0.010186159431689983,0.002659626008583086,0.021755594917552044,0.5712140175219024,0.4287859824780976,0.05531914893617021,0.8686691697955777
30_60,30.0,60.0,all_score,-10,10,train2000_2012_test2013_2015,2013-2015,4282.0,0.006324738854010903,0.0009780114364581053,0.015782875528541494,0.528724894908921,0.47127510509107895,0.06679121905651565,0.8813638486688463
30_60,30.0,60.0,all_score,-10,10,train2000_2015_test2016_2018,2016-2018,4384.0,0.0006296659436666661,-0.002351375041288104,0.012655433734238357,0.4345346715328467,0.5654653284671532,0.046532846715328466,0.8880778588807785
30_60,30.0,60.0,all_score,-10,10,train2000_2018_test2019_2021,2019-2021,3755.0,0.00039334241984830047,-0.0018761294808838464,0.008673162926260525,0.41171770972037286,0.5882822902796272,0.07909454061251664,0.8801597869507323
30_60,30.0,60.0,all_score,-10,10,train2000_2021_test2022_2024,2022-2024,4093.0,0.0019185849945295489,2.6068211734441796e-05,0.007652494283048767,0.5008551184949914,0.4991448815050086,0.11580747617884192,0.8692075901946411
30_60,30.0,60.0,leading,1,10,train2000_2009_test2010_2012,2010-2012,1576.0,-0.003485046566334385,-0.004116131616492542,0.008821979298416506,0.30647208121827413,0.6935279187817259,0.08692893401015228,0.8411590524534686
30_60,30.0,60.0,leading,1,10,train2000_2012_test2013_2015,2013-2015,1683.0,-0.003788416004649712,-0.004285439192809023,0.005781795412304441,0.21687462863933452,0.7831253713606655,0.0944741532976827,0.873836403248168
30_60,30.0,60.0,leading,1,10,train2000_2015_test2016_2018,2016-2018,1708.0,-0.007963004980696648,-0.007722337076796745,0.005568860630977819,0.06381733021077284,0.9361826697892272,0.04215456674473068,0.9121779859484778
30_60,30.0,60.0,leading,1,10,train2000_2018_test2019_2021,2019-2021,1522.0,-0.005179348551141345,-0.005269451569406353,0.0030002269528229793,0.04204993429697766,0.9579500657030223,0.06898817345597898,0.9167761717038984
30_60,30.0,60.0,leading,1,10,train2000_2021_test2022_2024,2022-2024,1620.0,-0.003713339849163711,-0.003542764311734154,0.0028662523810939417,0.08950617283950617,0.9104938271604939,0.1339506172839506,0.8831275720164609
30_60,30.0,60.0,tied,0,0,train2000_2009_test2010_2012,2010-2012,254.0,-0.004605130359119023,-0.003428905454789059,0.01075740666378159,0.36220472440944884,0.6377952755905512,0.08661417322834646,0.7874015748031497
30_60,30.0,60.0,tied,0,0,train2000_2012_test2013_2015,2013-2015,275.0,9.728277355638535e-05,0.00017433923555473506,0.0069697316090547076,0.5054545454545455,0.49454545454545457,0.09818181818181818,0.7878787878787878
30_60,30.0,60.0,tied,0,0,train2000_2015_test2016_2018,2016-2018,279.0,-0.008336240289564789,-0.007618860503973648,0.008309183567021445,0.16487455197132617,0.8351254480286738,0.0931899641577061,0.8470728793309439
30_60,30.0,60.0,tied,0,0,train2000_2018_test2019_2021,2019-2021,213.0,-0.005030225541719546,-0.004049064478880884,0.007088541800400601,0.26291079812206575,0.7370892018779343,0.1596244131455399,0.8685446009389671
30_60,30.0,60.0,tied,0,0,train2000_2021_test2022_2024,2022-2024,245.0,-0.00022445376577580174,0.00019794113271163618,0.004992481820224372,0.5142857142857142,0.4857142857142857,0.13877551020408163,0.8734693877551021
30_60,30.0,60.0,trailing,-10,-1,train2000_2009_test2010_2012,2010-2012,2165.0,0.02187336878954305,0.02213577684501049,0.02247077482763925,0.7884526558891455,0.2115473441108545,0.028637413394919167,0.8982294072363357
30_60,30.0,60.0,trailing,-10,-1,train2000_2012_test2013_2015,2013-2015,2324.0,0.01438540582873156,0.012507212908042086,0.016894750917630097,0.7573149741824441,0.24268502581755594,0.043029259896729774,0.8978772231784281
30_60,30.0,60.0,trailing,-10,-1,train2000_2015_test2016_2018,2016-2018,2397.0,0.007796027970318362,0.008040358349196912,0.012227171935237383,0.7300792657488527,0.26992073425114727,0.04422194409678765,0.8756779307467668
30_60,30.0,60.0,trailing,-10,-1,train2000_2018_test2019_2021,2019-2021,2020.0,0.005164063030571167,0.005097433383979532,0.008861399259253947,0.7059405940594059,0.29405940594059404,0.07821782178217822,0.8537953795379537
30_60,30.0,60.0,trailing,-10,-1,train2000_2021_test2022_2024,2022-2024,2228.0,0.006249268451916395,0.005589871245199033,0.007520450392874979,0.7984739676840216,0.20152603231597846,0.10008976660682226,0.8586175942549371
