time_left_game,score_diff_offense,tau_catboost,sign_catboost,tau_xgb,sign_xgb,tau_lgbm,sign_lgbm,positive_share,negative_share,neutral_share,agreement_ratio,is_unanimous,has_pos_neg_conflict,mean_tau,std_tau,majority_positive,majority_negative,majority_neutral,majority_sign
25.0,-9.0,0.00388156995177269,1,0.007247229106724262,1,0.004603428300470114,1,1.0,0.0,0.0,1.0,True,False,0.005244075786322355,0.0014467751006229754,True,False,False,1
25.0,-8.0,0.00033201626501977444,1,0.0037319499533623457,1,0.00011718120367731899,1,1.0,0.0,0.0,1.0,True,False,0.0013937158073531464,0.0016557058347963526,True,False,False,1
25.0,-7.0,0.011515812948346138,1,0.013198328204452991,1,0.008839991874992847,1,1.0,0.0,0.0,1.0,True,False,0.011184711009263992,0.0017946207140082085,True,False,False,1
25.0,-6.0,0.007968380115926266,1,0.015299472957849503,1,0.011864240281283855,1,1.0,0.0,0.0,1.0,True,False,0.011710697785019875,0.0029948747372629527,True,False,False,1
25.0,-5.0,0.0019903068896383047,1,0.012648171745240688,1,-5.167476774659008e-05,-1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,0.004862267955710801,0.0055682220763385495,True,False,False,1
25.0,-4.0,-0.0033655588049441576,-1,0.004548227414488792,1,0.007092602550983429,1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,0.002758423720176021,0.004453151145334131,True,False,False,1
25.0,-3.0,-0.006668622139841318,-1,0.004343344829976559,1,0.0017772651044651866,1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,-0.00018267073513319096,0.004704385578556575,True,False,False,1
25.0,-2.0,-0.0033244742080569267,-1,0.00506703881546855,1,0.001908699981868267,1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,0.00121708819642663,0.003460550808982172,True,False,False,1
25.0,-1.0,0.006616410333663225,1,0.004512049723416567,1,0.0065535311587154865,1,1.0,0.0,0.0,1.0,True,False,0.00589399707193176,0.0009775214586601687,True,False,False,1
25.0,0.0,-0.0013551422161981463,-1,-0.001919053727760911,-1,-0.002406667685136199,-1,0.0,1.0,0.0,1.0,True,False,-0.0018936212096984188,0.00042965999168924037,False,True,False,-1
25.0,1.0,5.278895332594402e-05,1,0.0012596104061231017,1,-0.0006140014156699181,-1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,0.00023279931459304257,0.0007754173552839242,True,False,False,1
25.0,2.0,-0.0008236772264353931,-1,-0.00044322837493382394,-1,-0.00397728243842721,-1,0.0,1.0,0.0,1.0,True,False,-0.0017480626799321424,0.001583929897628221,False,True,False,-1
25.0,3.0,-0.003932806197553873,-1,-0.0034130613785237074,-1,-0.0038947046268731356,-1,0.0,1.0,0.0,1.0,True,False,-0.003746857400983572,0.00023654142819614022,False,True,False,-1
25.0,4.0,0.0021391739137470722,1,7.60659750085324e-05,1,-0.00020406839030329138,-1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,0.0006703904994841045,0.0010448643784937354,True,False,False,1
25.0,5.0,0.001697197207249701,1,-0.0014366302639245987,-1,0.00046786031452938914,1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,0.00024280908595149717,0.0012892387150007017,True,False,False,1
25.0,6.0,-0.0009865383617579937,-1,-0.0012890304205939174,-1,0.0005250707035884261,1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,False,True,-0.0005834993595878283,0.0007935452308649048,False,True,False,-1
25.0,7.0,-0.0010741431033238769,-1,-0.002243996364995837,-1,0.00032278161961585283,1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,False,True,-0.0009984526162346203,0.0010492486495738015,False,True,False,-1
25.0,8.0,-0.0008108813781291246,-1,-0.002243996364995837,-1,0.0002160405711038038,1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,False,True,-0.000946279057340386,0.0010088590355431142,False,True,False,-1
25.0,9.0,-0.0008108813781291246,-1,-0.002243996364995837,-1,0.0002160405711038038,1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,False,True,-0.000946279057340386,0.0010088590355431142,False,True,False,-1
25.0,10.0,-0.0011364449746906757,-1,-0.002243996364995837,-1,0.0002160405711038038,1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,False,True,-0.0010548002561942365,0.0010059638253228922,False,True,False,-1
26.0,-10.0,0.007003474980592728,1,0.008318383246660233,1,0.005709495395421982,1,1.0,0.0,0.0,1.0,True,False,0.007010451207558314,0.0010650854287776296,True,False,False,1
26.0,-9.0,0.00388156995177269,1,0.007190154865384102,1,0.004603428300470114,1,1.0,0.0,0.0,1.0,True,False,0.005225051039208968,0.0014204446849800604,True,False,False,1
26.0,-8.0,0.00033201626501977444,1,0.0036748768761754036,1,0.00011718120367731899,1,1.0,0.0,0.0,1.0,True,False,0.0013746914482908323,0.0016288397256707813,True,False,False,1
26.0,-7.0,0.011515812948346138,1,0.013141253963112831,1,0.008839991874992847,1,1.0,0.0,0.0,1.0,True,False,0.011165686262150606,0.0017733500143258557,True,False,False,1
26.0,-6.0,0.007968380115926266,1,0.015242397785186768,1,0.012209582142531872,1,1.0,0.0,0.0,1.0,True,False,0.011806786681214968,0.0029832327432861173,True,False,False,1
26.0,-5.0,0.0019903068896383047,1,0.0125911058858037,1,0.00029367010574787855,1,1.0,0.0,0.0,1.0,True,False,0.004958360960396628,0.005441429984624634,True,False,False,1
26.0,-4.0,-0.0033655588049441576,-1,0.00333887105807662,1,0.0059175072237849236,1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,0.001963606492305795,0.0039125731680344404,True,False,False,1
26.0,-3.0,-0.006668622139841318,-1,0.003133990801870823,1,0.0019098708871752024,1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,-0.0005415868169317642,0.004361195461302221,True,False,False,1
26.0,-2.0,-0.0033244742080569267,-1,0.0038576843217015266,1,0.001201146631501615,1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,0.0005781189150487384,0.0029650152262955744,True,False,False,1
26.0,-1.0,0.006616410333663225,1,0.0033026952296495438,1,0.005845977459102869,1,1.0,0.0,0.0,1.0,True,False,0.005255027674138546,0.0014158844547735609,True,False,False,1
26.0,0.0,-0.0013551422161981463,-1,-0.0025542117655277252,-1,-0.002406667685136199,-1,0.0,1.0,0.0,1.0,True,False,-0.0021053405556206903,0.0005338791843784522,False,True,False,-1
26.0,1.0,5.278895332594402e-05,1,0.0008546001627109945,1,-0.0006140014156699181,-1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,9.779590012234014e-05,0.0006003981278844214,True,False,False,1
26.0,2.0,-0.0008236772264353931,-1,-0.0008482374250888824,-1,-0.00397728243842721,-1,0.0,1.0,0.0,1.0,True,False,-0.001883065696650495,0.0014808688040005174,False,True,False,-1
26.0,3.0,-0.003932806197553873,-1,-0.003818070748820901,-1,-0.0038947046268731356,-1,0.0,1.0,0.0,1.0,True,False,-0.00388186052441597,4.7712919458896715e-05,False,True,False,-1
