time_left_game,score_diff,cate_value,tau_mean_ensemble,tau_catboost,tau_xgb,tau_lgbm,tau_std_across_models,tau_sign_agree_ratio,tau_sign_disagree,n_in_cell,cell_count,cell_count_log1p,time_cell_width,cell_density,cell_density_log1p,shown_in_figure
86.25,-6.0,0.003707408827419,0.003707408827419,0.0033657210879027,0.0046975095756351,0.0030589958187192,0.0007112171334655,1.0,0,584,584,6.371611847231857,11.25,51.91111111111111,3.968613356716543,True
86.25,-5.0,0.0045681699799994,0.0045681699799994,0.002942131832242,0.0068414262495934,0.0039209518581628,0.0016563600074102,1.0,0,608,608,6.411818267709897,11.25,54.044444444444444,4.0081409397190395,True
86.25,-4.0,0.0032739234156906,0.0032739234156906,0.0016829476226121,0.0047433674335479,0.0033954551909118,0.0012523630554764,1.0,0,645,645,6.470799503782602,11.25,57.333333333333336,4.0661736852554045,True
86.25,-3.0,0.003959064061443,0.003959064061443,0.0022156867198646,0.0058893049135804,0.003772200550884,0.0015055577343039,1.0,0,660,660,6.493753839851687,11.25,58.666666666666664,4.088773517172645,True
86.25,-2.0,0.003923321996505,0.003923321996505,0.0021084605250507,0.0058893049135804,0.003772200550884,0.0015472177914058,1.0,0,996,996,6.904750769961838,11.25,88.53333333333333,4.494610995421027,True
86.25,-1.0,0.0038505461222181,0.0038505461222181,0.0020359177142381,0.0065134544856846,0.0030022661667317,0.0019238447697382,1.0,0,658,658,6.490723534502507,11.25,58.48888888888889,4.085789553750033,True
86.25,0.0,0.0007076162146404,0.0007076162146404,-0.0006410581991076,0.0019809470977634,0.0007829597452655,0.0010717541477752,0.6666666666666666,1,780,780,6.660575149839686,11.25,69.33333333333333,4.253245844807957,True
86.25,1.0,-0.0011436561083731,-0.0011436561083731,-0.0019795726984739,-0.0005133128724992,-0.0009380827541463,0.0006159950066317,0.0,0,649,649,6.476972362889683,11.25,57.68888888888889,4.072250422526812,True
86.25,2.0,-0.0023956250709791,-0.0023956250709791,-0.0044499351643025,-0.001753322314471,-0.0009836177341639,0.0014862152726268,0.0,0,644,644,6.4692503167957724,11.25,57.24444444444445,4.064648713553087,True
86.25,3.0,-0.0043539421943326,-0.0043539421943326,-0.0049766642041504,-0.0050334450788795,-0.003051717299968,0.0009211037848006,0.0,0,613,613,6.419994928147142,11.25,54.48888888888889,4.016182800509453,True
86.25,4.0,-0.0003412231911473,-0.0003412231911473,-1.3858857528248336e-05,-0.0015476886183023,0.0005378779023885,0.0008823349640777,0.3333333333333333,1,568,568,6.343880434126331,11.25,50.48888888888889,3.9413660346620563,True
86.25,5.0,-0.0009731072253392,-0.0009731072253392,0.0001584830752108,-0.0028208126313984,-0.0002569921198301,0.0013174891169971,0.3333333333333333,1,571,571,6.349138991379798,11.25,50.75555555555555,3.946531780114021,True
86.25,6.0,-0.0012583826028276,-0.0012583826028276,-0.0003804945445153,-0.0027352015022188,-0.0006594517617486,0.0010504601621705,0.0,0,500,500,6.2166061010848646,11.25,44.44444444444444,3.816490578706582,True
86.25,7.0,-0.0020187485982508,-0.0020187485982508,-0.000464384938823,-0.004308802075684,-0.0012830587802454,0.0016534439637284,0.0,0,433,433,6.073044534100405,11.25,38.48888888888889,3.6760193383843314,True
86.25,8.0,-0.0022062787126439,-0.0022062787126439,-0.0007746219052933,-0.004308802075684,-0.0015354121569544,0.0015188051928742,0.0,0,447,447,6.104793232414985,11.25,39.733333333333334,3.707046758069385,True
