time_left_game,score_diff,cell_count,cell_count_log1p,time_cell_width,cell_density,cell_density_log1p
19.0,-10.0,84,4.442651256490317,1.0,84.0,4.442651256490317
19.0,-9.0,88,4.48863636973214,1.0,88.0,4.48863636973214
19.0,-8.0,122,4.812184355372417,1.0,122.0,4.812184355372417
19.0,-7.0,100,4.61512051684126,1.0,100.0,4.61512051684126
19.0,-6.0,139,4.941642422609304,1.0,139.0,4.941642422609304
19.0,-5.0,94,4.553876891600541,1.0,94.0,4.553876891600541
19.0,-4.0,80,4.394449154672439,1.0,80.0,4.394449154672439
19.0,-3.0,81,4.406719247264253,1.0,81.0,4.406719247264253
19.0,-2.0,76,4.343805421853684,1.0,76.0,4.343805421853684
19.0,-1.0,84,4.442651256490317,1.0,84.0,4.442651256490317
19.0,0.0,61,4.127134385045092,1.0,61.0,4.127134385045092
19.0,1.0,59,4.0943445622221,1.0,59.0,4.0943445622221
19.0,2.0,59,4.0943445622221,1.0,59.0,4.0943445622221
19.0,3.0,46,3.8501476017100584,1.0,46.0,3.8501476017100584
19.0,4.0,53,3.9889840465642745,1.0,53.0,3.9889840465642745
19.0,5.0,32,3.4965075614664802,1.0,32.0,3.4965075614664802
19.0,6.0,21,3.091042453358316,1.0,21.0,3.091042453358316
19.0,7.0,14,2.70805020110221,1.0,14.0,2.70805020110221
19.0,8.0,13,2.639057329615259,1.0,13.0,2.639057329615259
19.0,9.0,24,3.2188758248682006,1.0,24.0,3.2188758248682006
19.0,10.0,28,3.367295829986474,1.0,28.0,3.367295829986474
20.0,-10.0,68,4.23410650459726,1.0,68.0,4.23410650459726
20.0,-9.0,86,4.465908118654584,1.0,86.0,4.465908118654584
20.0,-8.0,122,4.812184355372417,1.0,122.0,4.812184355372417
20.0,-7.0,105,4.663439094112067,1.0,105.0,4.663439094112067
20.0,-6.0,117,4.770684624465665,1.0,117.0,4.770684624465665
20.0,-5.0,93,4.543294782270004,1.0,93.0,4.543294782270004
20.0,-4.0,80,4.394449154672439,1.0,80.0,4.394449154672439
20.0,-3.0,83,4.430816798843313,1.0,83.0,4.430816798843313
20.0,-2.0,61,4.127134385045092,1.0,61.0,4.127134385045092
20.0,-1.0,75,4.330733340286331,1.0,75.0,4.330733340286331
20.0,0.0,64,4.174387269895637,1.0,64.0,4.174387269895637
20.0,1.0,64,4.174387269895637,1.0,64.0,4.174387269895637
20.0,2.0,58,4.07753744390572,1.0,58.0,4.07753744390572
20.0,3.0,54,4.007333185232471,1.0,54.0,4.007333185232471
20.0,4.0,31,3.4657359027997265,1.0,31.0,3.4657359027997265
20.0,5.0,19,2.995732273553991,1.0,19.0,2.995732273553991
20.0,6.0,23,3.1780538303479458,1.0,23.0,3.1780538303479458
20.0,7.0,13,2.639057329615259,1.0,13.0,2.639057329615259
20.0,8.0,12,2.5649493574615367,1.0,12.0,2.5649493574615367
20.0,9.0,20,3.044522437723423,1.0,20.0,3.044522437723423
20.0,10.0,27,3.332204510175204,1.0,27.0,3.332204510175204
21.0,-10.0,64,4.174387269895637,1.0,64.0,4.174387269895637
21.0,-9.0,90,4.51085950651685,1.0,90.0,4.51085950651685
21.0,-8.0,105,4.663439094112067,1.0,105.0,4.663439094112067
21.0,-7.0,111,4.718498871295094,1.0,111.0,4.718498871295094
21.0,-6.0,115,4.7535901911063645,1.0,115.0,4.7535901911063645
21.0,-5.0,101,4.624972813284271,1.0,101.0,4.624972813284271
21.0,-4.0,87,4.477336814478207,1.0,87.0,4.477336814478207
21.0,-3.0,61,4.127134385045092,1.0,61.0,4.127134385045092
21.0,-2.0,69,4.248495242049359,1.0,69.0,4.248495242049359
21.0,-1.0,68,4.23410650459726,1.0,68.0,4.23410650459726
21.0,0.0,57,4.060443010546419,1.0,57.0,4.060443010546419
21.0,1.0,56,4.04305126783455,1.0,56.0,4.04305126783455
21.0,2.0,67,4.219507705176107,1.0,67.0,4.219507705176107
21.0,3.0,64,4.174387269895637,1.0,64.0,4.174387269895637
21.0,4.0,41,3.7376696182833684,1.0,41.0,3.7376696182833684
21.0,5.0,24,3.2188758248682006,1.0,24.0,3.2188758248682006
21.0,6.0,25,3.258096538021482,1.0,25.0,3.258096538021482
21.0,7.0,16,2.833213344056216,1.0,16.0,2.833213344056216
21.0,8.0,18,2.9444389791664403,1.0,18.0,2.9444389791664403
21.0,9.0,19,2.995732273553991,1.0,19.0,2.995732273553991
21.0,10.0,29,3.4011973816621555,1.0,29.0,3.4011973816621555
22.0,-10.0,91,4.5217885770490405,1.0,91.0,4.5217885770490405
22.0,-9.0,75,4.330733340286331,1.0,75.0,4.330733340286331
22.0,-8.0,87,4.477336814478207,1.0,87.0,4.477336814478207
22.0,-7.0,112,4.727387818712341,1.0,112.0,4.727387818712341
22.0,-6.0,125,4.836281906951478,1.0,125.0,4.836281906951478
22.0,-5.0,93,4.543294782270004,1.0,93.0,4.543294782270004
22.0,-4.0,84,4.442651256490317,1.0,84.0,4.442651256490317
22.0,-3.0,63,4.1588830833596715,1.0,63.0,4.1588830833596715
22.0,-2.0,69,4.248495242049359,1.0,69.0,4.248495242049359
22.0,-1.0,72,4.290459441148391,1.0,72.0,4.290459441148391
22.0,0.0,64,4.174387269895637,1.0,64.0,4.174387269895637
22.0,1.0,51,3.9512437185814275,1.0,51.0,3.9512437185814275
22.0,2.0,64,4.174387269895637,1.0,64.0,4.174387269895637
22.0,3.0,64,4.174387269895637,1.0,64.0,4.174387269895637
22.0,4.0,38,3.6635616461296463,1.0,38.0,3.6635616461296463
22.0,5.0,29,3.4011973816621555,1.0,29.0,3.4011973816621555
22.0,6.0,15,2.772588722239781,1.0,15.0,2.772588722239781
22.0,7.0,13,2.639057329615259,1.0,13.0,2.639057329615259
22.0,8.0,17,2.8903717578961645,1.0,17.0,2.8903717578961645
22.0,9.0,31,3.4657359027997265,1.0,31.0,3.4657359027997265
22.0,10.0,27,3.332204510175204,1.0,27.0,3.332204510175204
23.0,-10.0,66,4.204692619390966,1.0,66.0,4.204692619390966
23.0,-9.0,84,4.442651256490317,1.0,84.0,4.442651256490317
23.0,-8.0,107,4.68213122712422,1.0,107.0,4.68213122712422
23.0,-7.0,114,4.74493212836325,1.0,114.0,4.74493212836325
23.0,-6.0,91,4.5217885770490405,1.0,91.0,4.5217885770490405
23.0,-5.0,91,4.5217885770490405,1.0,91.0,4.5217885770490405
23.0,-4.0,73,4.304065093204169,1.0,73.0,4.304065093204169
23.0,-3.0,86,4.465908118654584,1.0,86.0,4.465908118654584
23.0,-2.0,72,4.290459441148391,1.0,72.0,4.290459441148391
23.0,-1.0,81,4.406719247264253,1.0,81.0,4.406719247264253
23.0,0.0,70,4.2626798770413155,1.0,70.0,4.2626798770413155
23.0,1.0,56,4.04305126783455,1.0,56.0,4.04305126783455
23.0,2.0,63,4.1588830833596715,1.0,63.0,4.1588830833596715
23.0,3.0,53,3.9889840465642745,1.0,53.0,3.9889840465642745
23.0,4.0,36,3.6109179126442243,1.0,36.0,3.6109179126442243
23.0,5.0,31,3.4657359027997265,1.0,31.0,3.4657359027997265
23.0,6.0,19,2.995732273553991,1.0,19.0,2.995732273553991
23.0,7.0,21,3.091042453358316,1.0,21.0,3.091042453358316
23.0,8.0,18,2.9444389791664403,1.0,18.0,2.9444389791664403
23.0,9.0,26,3.295836866004329,1.0,26.0,3.295836866004329
23.0,10.0,28,3.367295829986474,1.0,28.0,3.367295829986474
24.0,-10.0,83,4.430816798843313,1.0,83.0,4.430816798843313
24.0,-9.0,62,4.143134726391533,1.0,62.0,4.143134726391533
24.0,-8.0,110,4.709530201312334,1.0,110.0,4.709530201312334
24.0,-7.0,126,4.844187086458591,1.0,126.0,4.844187086458591
24.0,-6.0,95,4.564348191467836,1.0,95.0,4.564348191467836
24.0,-5.0,84,4.442651256490317,1.0,84.0,4.442651256490317
24.0,-4.0,58,4.07753744390572,1.0,58.0,4.07753744390572
24.0,-3.0,66,4.204692619390966,1.0,66.0,4.204692619390966
24.0,-2.0,65,4.189654742026425,1.0,65.0,4.189654742026425
24.0,-1.0,74,4.31748811353631,1.0,74.0,4.31748811353631
24.0,0.0,72,4.290459441148391,1.0,72.0,4.290459441148391
24.0,1.0,70,4.2626798770413155,1.0,70.0,4.2626798770413155
24.0,2.0,63,4.1588830833596715,1.0,63.0,4.1588830833596715
24.0,3.0,65,4.189654742026425,1.0,65.0,4.189654742026425
24.0,4.0,45,3.828641396489095,1.0,45.0,3.828641396489095
24.0,5.0,29,3.4011973816621555,1.0,29.0,3.4011973816621555
24.0,6.0,25,3.258096538021482,1.0,25.0,3.258096538021482
24.0,7.0,23,3.1780538303479458,1.0,23.0,3.1780538303479458
24.0,8.0,28,3.367295829986474,1.0,28.0,3.367295829986474
24.0,9.0,27,3.332204510175204,1.0,27.0,3.332204510175204
24.0,10.0,24,3.2188758248682006,1.0,24.0,3.2188758248682006
25.0,-10.0,68,4.23410650459726,1.0,68.0,4.23410650459726
25.0,-9.0,84,4.442651256490317,1.0,84.0,4.442651256490317
25.0,-8.0,104,4.653960350157523,1.0,104.0,4.653960350157523
25.0,-7.0,111,4.718498871295094,1.0,111.0,4.718498871295094
25.0,-6.0,107,4.68213122712422,1.0,107.0,4.68213122712422
25.0,-5.0,84,4.442651256490317,1.0,84.0,4.442651256490317
25.0,-4.0,53,3.9889840465642745,1.0,53.0,3.9889840465642745
25.0,-3.0,85,4.454347296253507,1.0,85.0,4.454347296253507
25.0,-2.0,87,4.477336814478207,1.0,87.0,4.477336814478207
