variant,season,time_bin,shot_type,n,n_games,fitted_next_state_wp,empirical_win_rate,wp_minus_empirical
surface,2001,45-60s,3PA,7,7,0.4827195676280366,0.14285714285714285,0.33986242477089373
surface,2002,0-15s,2PA,23,23,0.3428116658666312,0.08695652173913043,0.25585514412750077
surface,2002,0-15s,3PA,26,26,0.4654434098102299,0.5,-0.03455659018977009
surface,2002,15-30s,2PA,11,11,0.3803398434940744,0.0,0.3803398434940744
surface,2002,15-30s,3PA,3,3,0.468400281567221,0.0,0.468400281567221
surface,2002,30-45s,2PA,11,11,0.30479779196764584,0.36363636363636365,-0.05883857166871781
surface,2002,30-45s,3PA,5,5,0.4645079764138952,0.4,0.06450797641389516
surface,2002,45-60s,2PA,8,8,0.3712929815729445,0.375,-0.0037070184270555084
surface,2002,45-60s,3PA,4,4,0.49830392417637676,0.25,0.24830392417637676
surface,2003,0-15s,2PA,15,14,0.3180135965102101,0.06666666666666667,0.25134692984354345
surface,2003,0-15s,3PA,28,25,0.4789507447451064,0.6071428571428571,-0.1281921123977507
surface,2003,15-30s,2PA,15,15,0.3333607602351994,0.13333333333333333,0.20002742690186606
surface,2003,15-30s,3PA,3,3,0.44462599070030434,0.0,0.44462599070030434
surface,2003,30-45s,2PA,15,15,0.30918072546486336,0.26666666666666666,0.0425140587981967
surface,2003,30-45s,3PA,4,4,0.45719447398455904,1.0,-0.542805526015441
surface,2003,45-60s,2PA,7,7,0.328697506923818,0.14285714285714285,0.18584036406667515
surface,2003,45-60s,3PA,3,3,0.474444334638455,0.0,0.474444334638455
surface,2004,0-15s,2PA,22,19,0.3559322169866659,0.09090909090909091,0.26502312607757494
surface,2004,0-15s,3PA,27,27,0.4866235621431716,0.3333333333333333,0.15329022880983828
surface,2004,15-30s,2PA,14,14,0.3993247168020607,0.21428571428571427,0.18503900251634645
surface,2004,15-30s,3PA,3,3,0.4444935692963137,0.3333333333333333,0.11116023596298036
surface,2004,30-45s,2PA,16,16,0.32373725386025787,0.25,0.07373725386025787
surface,2004,30-45s,3PA,2,2,0.4574172971495195,1.0,-0.5425827028504805
surface,2004,45-60s,2PA,16,16,0.34322970580950224,0.4375,-0.09427029419049776
surface,2004,45-60s,3PA,6,6,0.4560010204581057,0.3333333333333333,0.12266768712477238
surface,2005,0-15s,2PA,17,16,0.3483937417098885,0.17647058823529413,0.1719231534745944
surface,2005,0-15s,3PA,22,22,0.477137678076288,0.5454545454545454,-0.06831686737825743
surface,2005,15-30s,2PA,18,17,0.3681995489044399,0.2222222222222222,0.1459773266822177
surface,2005,15-30s,3PA,6,6,0.43594143946758573,0.5,-0.06405856053241427
surface,2005,30-45s,2PA,18,18,0.3116524907738859,0.1111111111111111,0.2005413796627748
surface,2005,30-45s,3PA,5,5,0.5013183596451408,0.6,-0.09868164035485916
surface,2005,45-60s,2PA,9,9,0.37215926661826143,0.3333333333333333,0.038825933284928116
surface,2005,45-60s,3PA,6,6,0.44327627749861936,0.3333333333333333,0.10994294416528605
surface,2006,0-15s,2PA,20,19,0.3835496055593502,0.3,0.0835496055593502
surface,2006,0-15s,3PA,32,29,0.48727603422112165,0.375,0.11227603422112165
surface,2006,15-30s,2PA,16,16,0.3453369998907236,0.25,0.09533699989072358
surface,2006,15-30s,3PA,11,10,0.44745734923850633,0.2727272727272727,0.17473007651123362
surface,2006,30-45s,2PA,11,11,0.36348737922109015,0.18181818181818182,0.18166919740290832
surface,2006,30-45s,3PA,4,4,0.456566167182202,0.25,0.206566167182202
surface,2006,45-60s,2PA,14,14,0.34752940936579024,0.21428571428571427,0.13324369508007597
surface,2006,45-60s,3PA,2,2,0.4559197034489785,1.0,-0.5440802965510215
surface,2007,0-15s,2PA,25,25,0.3877056711773868,0.04,0.3477056711773868
surface,2007,0-15s,3PA,26,25,0.47208005286965243,0.15384615384615385,0.3182338990234986
surface,2007,15-30s,2PA,11,11,0.4011385850220386,0.2727272727272727,0.12841131229476588
