window,outer_fold,train_years,test_years,time_bin_left,time_bin_right,time_bin_mid,score_diff_cell,cate_value,tau_mean_ensemble,tau_catboost,tau_xgb,tau_lgbm,tau_catboost_raw,tau_xgb_raw,tau_lgbm_raw,tau_std_across_models,tau_sign_agree_ratio,n,shown_in_figure
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,4,-0.011211496239383367,-0.011211496239383367,-0.0323245300590977,0.0019270558374194515,-0.0032370144964718487,-0.020446476,0.003670828,-0.0039909496,0.00825080740469763,0.6666666666666666,5,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,5,-0.008243085911633873,-0.008243085911633873,-0.021404289125926367,0.000976074945511144,-0.004301043554486399,-0.013134481,0.0023136586,-0.005360698,0.004879930994572337,0.7333333333333333,5,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,6,0.0016995327263961354,0.0016995327263961354,0.010767069623162652,-0.0011217480386606835,-0.004546723405313563,0.008406876,-0.0006801989,-0.0056769676,0.006176553762486745,0.7777777777777777,3,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,7,-0.006150964806450503,-0.006150964806450503,-0.010249473016474586,-0.0023426314776347776,-0.005860789925242143,-0.005665419,-0.0024225533,-0.0073685944,0.006408098925335406,0.8333333333333333,2,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,8,-0.011123709584081211,-0.011123709584081211,-0.02553912224412223,-0.0022391266661079723,-0.00559287984201343,-0.015903091,-0.0022748387,-0.007023708,0.008145672267915688,0.9166666666666666,8,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,9,-0.011012762891820252,-0.011012762891820252,-0.02280485889550767,-0.003877925511859995,-0.006355504268093094,-0.014072278,-0.0046136114,-0.008005451,0.004789000724691206,0.9523809523809523,7,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,10,-0.017401610983629863,-0.017401610983629863,-0.043371036799560087,-0.0025730806896754515,-0.006260715461654053,-0.027843015,-0.0027514333,-0.007883428,0.008087495224488811,0.9166666666666666,8,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,-10,-0.0005762972998653159,-0.0005762972998653159,-0.00949656249300463,0.007501680890635642,0.00026598970277303937,-0.005161284,0.01162652,0.0005185466,0.01617688885523449,0.893939393939394,22,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,-9,-0.00473054632933572,-0.00473054632933572,-0.02397856311855945,0.009661283475846615,0.000125640654705673,-0.014858168,0.014708544,0.00033787213,0.015315883819358781,0.8095238095238095,35,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,-8,-0.010231478483974684,-0.010231478483974684,-0.0269443433645261,0.004760717594594945,-0.008510809681992897,-0.016844,0.00771482,-0.010780024,0.015173071062275,0.8125,32,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,-7,0.006002275715951145,0.006002275715951145,0.0019827740008434894,0.008531211510775233,0.007492841636234711,0.002525071,0.013095789,0.009821836,0.017560700395646552,0.8954248366013071,51,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,-6,-0.005584052050293622,-0.005584052050293622,-0.013491579309489873,0.0028741907843836587,-0.00613476762577465,-0.007836275,0.0050225086,-0.0077212923,0.0167883358842578,0.8571428571428571,42,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,-5,-0.005724156402730891,-0.005724156402730891,-0.015147511216960589,0.007083858044514691,-0.009108816035746778,-0.008945056,0.011030233,-0.011549852,0.015262868632900982,0.8761904761904762,35,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,-4,-0.00656882483984086,-0.00656882483984086,-0.008517880704254577,-0.001586902303255956,-0.009601691512012046,-0.0045059766,-0.0013440326,-0.012184341,0.018008227684015544,0.9009009009009009,37,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,-3,-0.005337990042586081,-0.005337990042586081,-0.006313414080266421,0.0036289411729886014,-0.013329497220480425,-0.0030299057,0.0060996325,-0.01698323,0.014583372066342769,0.8288288288288288,37,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,-2,-0.0025575525683525376,-0.0025575525683525376,-0.007010786156257081,0.0031999840978490864,-0.0038618556466496184,-0.0034968534,0.005487457,-0.0047953217,0.013542113910432965,0.8611111111111112,24,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,-1,0.006476263559065732,0.006476263559065732,0.007653929164639975,0.010164042913471163,0.00161081859908606,0.0063223736,0.015426046,0.002249775,0.013761339668698242,0.7747747747747747,37,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,0,-0.0022987643042376464,-0.0022987643042376464,-0.008632129355471247,-0.007895798827185406,0.009631635269943713,-0.0045824754,-0.010347622,0.012575153,0.007104687837580297,0.6666666666666666,18,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,1,0.002570518331118761,0.002570518331118761,-0.003447020455881037,0.005972185422848962,0.005186390026388356,-0.0011106206,0.009443738,0.0068526887,0.009517611690806175,0.8,20,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,2,-0.006732552492898634,-0.006732552492898634,-0.01818148043523916,0.002776250780750526,-0.004792427824207267,-0.010976547,0.004882736,-0.005993268,0.008403313456794076,0.6666666666666666,27,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,3,-0.010550815629673823,-0.010550815629673823,-0.02405483082420401,-0.0011322495031700014,-0.006465366561647462,-0.014909237,-0.0006951858,-0.00814688,0.008479633895144743,0.9259259259259259,27,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,4,-0.004357026390867883,-0.004357026390867883,-0.011451243113146692,0.0019925078779807885,-0.003612343937437744,-0.0064701024,0.0037642366,-0.0044741197,0.008621467496692284,0.7272727272727273,11,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,5,-0.013155776810774969,-0.013155776810774969,-0.03514174204513133,0.0006056054916546287,-0.0049311938788482,-0.02233283,0.001784952,-0.0061719045,0.009200808068810122,0.7777777777777777,6,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,6,-0.017422536476054157,-0.017422536476054157,-0.04316204988776114,-0.0033491132871976206,-0.005756446253203719,-0.027703082,-0.0038589295,-0.00723427,0.00660942247815281,1.0,3,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,7,-0.0122515364222863,-0.0122515364222863,-0.027287852644529566,-0.0038036085826837042,-0.005663148039645638,-0.017074008,-0.0045075514,-0.0071141655,0.009955406907606653,0.9523809523809523,7,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,8,-0.005964799835512992,-0.005964799835512992,-0.009755869543392415,-0.0026548472858562064,-0.005483682677290355,-0.0053349114,-0.0028681245,-0.0068831355,0.007914164046155926,0.8888888888888888,6,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,9,-0.006396169060796873,-0.006396169060796873,-0.009871378724453393,-0.003259442875851308,-0.0060576855820859195,-0.005412254,-0.0037309586,-0.007622063,0.005591002411396448,0.8888888888888888,9,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,15,18,16.5,10,-0.011466723827845682,-0.011466723827845682,-0.026055501820479887,-0.0026613078509959117,-0.005683361812061246,-0.016248848,-0.0028773446,-0.0071401875,0.005756109171671108,0.9743589743589743,13,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,18,21,19.5,-10,-0.005905302292992076,-0.005905302292992076,-0.025041709372898645,0.006410718048277953,0.0009150844456444607,-0.0155700315,0.010069579,0.0013541409,0.012323855774605784,0.8076923076923077,26,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,18,21,19.5,-9,0.0021826631616667647,0.0021826631616667647,-0.010282338467937194,0.012088711845242482,0.004741616107695007,-0.0056874254,0.01817279,0.006280121,0.014310962578860276,0.8620689655172413,29,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,18,21,19.5,-8,-0.008350300254225914,-0.008350300254225914,-0.027562303236890347,0.005773591974841568,-0.0032621895006289636,-0.017257774,0.009160319,-0.0040233578,0.01088798398610324,0.8133333333333332,50,True
